Cdigo;Descrio;Material;Malha;Fio;Largura;Unidade;Forma Fsica;Fracionvel;Classe ABC;Sub-classe ABC;Estoque;Estoque Valorizado;Em Trnsito (total);Em Produo (total);Cotado;PO Comprado;Em Produo (PO);Aguardando;Inserido em Invoice;Inserido em Container;Embarcado;Em Transbordo;Atracado Brasil;Liberado;Consumo Mdio/dia (Ano Atual);Consumo Mdio/dia (Ano Anterior);Consumo Mdio/dia (24m);Dias de Cobertura;Crtico;Preo Mdio;Dt_Ult_Movto
3;Arame Galvanizado - 10 BWG;GALVANIZADO;;10;;KG;Arame;No;A;A2;724; 6.098,90 ;0;0;0;0;0;0;0;0;0;0;0;0;4,8311;4,5041;5,029;143;No;0;14/05/2026
4;Arame Galvanizado - 12 BWG;GALVANIZADO;;;;KG;Arame;No;A;A1;672; 6.718,58 ;0;0;0;0;0;0;0;0;0;0;0;0;28,0405;26,1593;19,6988;34;No;0;14/05/2026
4;Arame Galvanizado - 12 BWG;GALVANIZADO;;12;;KG;Arame;Sim;A;A1;0; 6.718,58 ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10,3955;0;No;0;14/05/2026
5;Arame Galvanizado - 14 BWG;GALVANIZADO;;;;KG;Arame;No;A;A2;1125; 9.590,32 ;0;0;0;0;0;0;0;0;0;0;0;0;7,2649;7,5507;5,7164;196;No;0;26/05/2026
5;Arame Galvanizado - 14 BWG;GALVANIZADO;;14;;KG;Arame;Sim;A;A2;0; 9.590,32 ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4,4005;0;No;0;26/05/2026
6;Arame Galvanizado - 16 BWG;GALVANIZADO;;;;KG;Arame;No;C;C1;2435; 24.128,90 ;0;0;0;0;0;0;0;0;0;0;0;0;0,3378;0,3151;0,2259;9999;No;0;29/04/2026
6;Arame Galvanizado - 16 BWG;GALVANIZADO;;16;;KG;Arame;Sim;B;B1;0; 24.128,90 ;0;0;0;0;0;0;0;0;0;0;0;0;0;1,3104;1,125;0;No;0;29/04/2026
7;Arame Galvanizado - 18 BWG;GALVANIZADO;;;;KG;Arame;No;A;A1;3750; 51.033,84 ;0;0;0;0;0;0;0;0;0;0;0;0;12,2973;7,6712;6,3924;586;No;0;27/05/2026
7;Arame Galvanizado - 18 BWG;GALVANIZADO;;18;;KG;Arame;Sim;A;A2;0; 51.033,84 ;0;0;0;0;0;0;0;0;0;0;0;0;1,6614;0;3,0857;0;No;0;27/05/2026
8;Arame Galvanizado - 19 BWG;GALVANIZADO;;;;KG;Arame;No;B;B1;10316; 135.175,15 ;0;0;0;0;0;0;0;0;0;0;0;0;0;0,2138;1,0093;9999;No;0;26/05/2026
9;Arame Galvanizado - 20 BWG;GALVANIZADO;;20;;KG;Arame;No;A;A1;5594; 67.245,80 ;0;0;0;0;0;0;0;0;0;0;0;0;58,9181;2,2548;14,2971;391;No;0;27/05/2026
10;Arame Galvanizado - 21 BWG;GALVANIZADO;;21;;KG;Arame;No;A;A3;2442; 35.463,77 ;0;0;0;0;0;0;0;0;0;0;0;0;20,2703;0;4,2296;577;No;0;27/05/2026
